evaluations raw_y
1 9.5871360534
35 9.2192041726
88 8.7358512059
107 7.7174195063
113 6.0425124409
135 5.8686292564
146 5.7953644144
154 5.0397910616
169 4.4206705095
202 4.2992677445
208 3.5682517257
209 2.2673098584
270 2.1930041409
285 2.1442224572
322 1.8698170074
371 1.8445308801
406 1.6415771005
443 1.6316565080
493 1.5866057709
508 1.5042430720
543 1.4377491006
565 1.2758441697
573 1.2080789210
671 1.1709191419
672 1.1088198056
708 1.0583487129
710 1.0482062746
742 0.9442554989
743 0.8845252557
755 0.7864759358
850 0.7238794273
887 0.7114561917
932 0.7054125392
978 0.6889137556
982 0.6622414779
1033 0.6459191301
1066 0.6367063399
1075 0.6118045532
1104 0.5520213487
1127 0.5446854017
1135 0.5329021196
1157 0.4841740097
1198 0.4775053430
1204 0.4272090092
1272 0.4026964031
1302 0.3963432281
1317 0.3863897027
1329 0.3466497508
1333 0.3281824700
1368 0.3278049436
1404 0.3083848090
1492 0.2688003609
1595 0.2655076833
1644 0.2576147133
1768 0.2516395503
1770 0.2449757546
1815 0.2378776072
1868 0.2375083804
1899 0.2360504123
1909 0.2231074206
2020 0.2061000236
2036 0.2032849608
2041 0.2000342123
2064 0.1946056843
2073 0.1890428307
2114 0.1773562635
2132 0.1495472385
2244 0.1445855680
2256 0.1413182968
2293 0.1322107977
2322 0.1320021691
2338 0.1300963796
2377 0.1280214236
2378 0.1222655670
2411 0.1210414372
2433 0.1195829839
2458 0.1100479880
2462 0.1082968205
2529 0.0987469333
2577 0.0977889401
2597 0.0928364610
2616 0.0883532926
2642 0.0877930182
2706 0.0869076148
2707 0.0778906896
2749 0.0753311865
2758 0.0696904719
2772 0.0689346571
2775 0.0612121808
2841 0.0581594376
2935 0.0546429212
2972 0.0532087632
3014 0.0519145952
3048 0.0510390524
3084 0.0493564033
3110 0.0480110226
3126 0.0453769366
3190 0.0423532199
3226 0.0384329493
3260 0.0378989348
3297 0.0371876171
3318 0.0370977575
3338 0.0342564372
3344 0.0339540636
3361 0.0328007514
3363 0.0315329854
3400 0.0306012687
3428 0.0292906258
3480 0.0277775056
3501 0.0274078360
3508 0.0267968203
3515 0.0261812309
3554 0.0258260654
3557 0.0248028115
3642 0.0220827228
3700 0.0214157848
3704 0.0211657994
3755 0.0202373401
3756 0.0200125849
3824 0.0199930345
3839 0.0196102604
3861 0.0194528187
3868 0.0186821150
3921 0.0185665631
3922 0.0184391775
3930 0.0175140319
3965 0.0171578104
3970 0.0167398588
4015 0.0157718725
4125 0.0145385139
4164 0.0142032783
4245 0.0132597443
4246 0.0132212469
4306 0.0122494353
4427 0.0115098637
4480 0.0106925528
4537 0.0105518744
4582 0.0103919763
4633 0.0101376336
4693 0.0090874887
4701 0.0088035530
4704 0.0083891972
4777 0.0082464726
4792 0.0077176142
4887 0.0076185574
4955 0.0073540476
5009 0.0063059009
5067 0.0062470325
5099 0.0057351602
5101 0.0054777792
5103 0.0053494016
5131 0.0052653764
5133 0.0049048240
5201 0.0047690018
5225 0.0045765175
5244 0.0044536568
5255 0.0043005525
5267 0.0042821109
5308 0.0041154515
5350 0.0036876577
5441 0.0036476491
5502 0.0034695672
5522 0.0034171598
5536 0.0032284427
5556 0.0032112256
5626 0.0031026525
5633 0.0030926058
5665 0.0030626977
5681 0.0029605571
5684 0.0028803353
5727 0.0027695630
5730 0.0027265980
5736 0.0027007474
5743 0.0026591258
5773 0.0026270760
5791 0.0025952660
5823 0.0025834796
5826 0.0023186488
5857 0.0022532723
5960 0.0022528643
5980 0.0021580159
5999 0.0021077691
6087 0.0020571999
6111 0.0019760499
6154 0.0019454076
6190 0.0018396224
6237 0.0017749199
6251 0.0017541831
6269 0.0016988471
6304 0.0016661053
6326 0.0015951353
6341 0.0015869436
6364 0.0015360414
6390 0.0015323293
6397 0.0014973673
6441 0.0014913247
6453 0.0014729877
6471 0.0014644345
6483 0.0014498688
6493 0.0014432983
6505 0.0013978797
6512 0.0013791269
6518 0.0013593515
6521 0.0013156093
6530 0.0012149874
6561 0.0011749885
6624 0.0011719675
6632 0.0011691053
6640 0.0010475834
6694 0.0010405698
6711 0.0009474457
6759 0.0009410711
6775 0.0009001700
6869 0.0008835518
6870 0.0008664116
6876 0.0008527533
6883 0.0008253926
6888 0.0007579639
7001 0.0007418512
7079 0.0007380510
7123 0.0007266251
7173 0.0006897270
7214 0.0006844061
7236 0.0006777534
7277 0.0006663509
7280 0.0006615691
7302 0.0006550616
7325 0.0006469141
7328 0.0006286455
7394 0.0006275786
7416 0.0006206418
7439 0.0006176022
7457 0.0006134345
7466 0.0006100482
7492 0.0006085777
7496 0.0006002876
7513 0.0005858077
7542 0.0005842075
7572 0.0005816505
7594 0.0005809563
7609 0.0005793350
7619 0.0005697004
7627 0.0005579645
7636 0.0005489763
7649 0.0005233730
7684 0.0005205359
7696 0.0005021599
7707 0.0004997936
7713 0.0004905442
7724 0.0004769770
7742 0.0004762198
7744 0.0004686022
7772 0.0004609016
7775 0.0004587273
7805 0.0004581203
7812 0.0004369714
7839 0.0004178354
7905 0.0004050634
7931 0.0003942848
7937 0.0003834509
7949 0.0003768850
7964 0.0003726945
7987 0.0003586767
8014 0.0003541806
8016 0.0003531546
8026 0.0003515351
8029 0.0003365304
8031 0.0003334326
8101 0.0003244391
8124 0.0003042376
8143 0.0002906884
8147 0.0002712789
8207 0.0002705609
8224 0.0002704394
8232 0.0002607010
8254 0.0002606298
8287 0.0002531723
8303 0.0002364168
8379 0.0002347330
8437 0.0002256047
8440 0.0002255534
8443 0.0002252983
8448 0.0002191049
8502 0.0002153075
8533 0.0002082342
8540 0.0002002800
8586 0.0001801660
8644 0.0001781283
8667 0.0001748636
8725 0.0001740229
8727 0.0001730876
8729 0.0001719838
8800 0.0001558886
8912 0.0001497837
8925 0.0001449888
8981 0.0001418093
9002 0.0001335465
9140 0.0001324401
9148 0.0001280390
9155 0.0001263484
9219 0.0001246041
9220 0.0001218252
9316 0.0001217870
9340 0.0001203032
9386 0.0001192755
9397 0.0001178733
9414 0.0001164050
9439 0.0001159605
9458 0.0001156207
9490 0.0001155315
9531 0.0001151345
9562 0.0001150431
9573 0.0001148646
9575 0.0001146314
9599 0.0001144456
9620 0.0001135860
9658 0.0001134549
9675 0.0001130292
9705 0.0001129445
9746 0.0001127269
9749 0.0001124517
9801 0.0001122238
9888 0.0001118976
9921 0.0001118926
9999 0.0001118368
10011 0.0001116753
10101 0.0001116699
10108 0.0001115569
10139 0.0001115521
10179 0.0001113837
10194 0.0001113734
10195 0.0001113684
10206 0.0001113231
10249 0.0001110803
10263 0.0001110030
10391 0.0001109903
10397 0.0001109800
10434 0.0001109686
10451 0.0001108881
10507 0.0001108877
10508 0.0001108692
10565 0.0001108030
10604 0.0001107818
10636 0.0001107757
10672 0.0001107730
10710 0.0001107654
10719 0.0001107596
10723 0.0001107495
10750 0.0001107294
10844 0.0001107123
10911 0.0001106967
10951 0.0001106961
10974 0.0001106827
10981 0.0001106804
11049 0.0001106732
11100 0.0001106714
11179 0.0001106692
11206 0.0001106645
11258 0.0001106616
11270 0.0001106594
11314 0.0001106590
11318 0.0001106586
11330 0.0001106577
11397 0.0001106570
11419 0.0001106559
11425 0.0001106547
11438 0.0001106499
11480 0.0001106485
11528 0.0001106479
11544 0.0001106476
11546 0.0001106473
11580 0.0001106467
11581 0.0001106444
11593 0.0001106431
11602 0.0001106413
11604 0.0001106410
11616 0.0001106404
11677 0.0001106396
11785 0.0001106394
11815 0.0001106393
11819 0.0001106391
11828 0.0001106389
11860 0.0001106388
11911 0.0001106385
11939 0.0001106383
11942 0.0001106378
12032 0.0001106376
12044 0.0001106375
12050 0.0001106371
12103 0.0001106369
12208 0.0001106367
12240 0.0001106365
12272 0.0001106362
12327 0.0001106359
12404 0.0001106357
12486 0.0001106355
12536 0.0001106353
12565 0.0001106351
12693 0.0001106349
12711 0.0001106348
13044 0.0001106346
16267 0.0001106345
40000 0.0001106345
evaluations raw_y
1 20.8235497750
3 11.9617885429
4 6.4846360103
91 4.5926882612
154 3.2005545337
202 2.6663274979
220 2.5782487527
261 2.4389641241
299 2.1454988318
310 2.0466815739
313 1.7210537557
342 1.3870574907
487 1.2050903309
563 0.9968441504
623 0.8912695186
707 0.8875764537
736 0.8812397676
743 0.8549600983
746 0.8487098365
772 0.7739048453
816 0.7630221848
829 0.7417651116
873 0.7376174016
903 0.6734090412
907 0.6626039527
909 0.5260713527
1012 0.4854195782
1072 0.4816012435
1084 0.4432450575
1127 0.4429167753
1140 0.4411315138
1243 0.3775786419
1276 0.3618328027
1282 0.3499295871
1307 0.3101675719
1331 0.2911129771
1418 0.2876825125
1432 0.2834515380
1440 0.2688944818
1442 0.2576427333
1448 0.2391136520
1495 0.2299180164
1504 0.2185063096
1539 0.1973085855
1619 0.1942180689
1651 0.1794781719
1700 0.1721503184
1722 0.1685275775
1760 0.1574850409
1772 0.1468504814
1815 0.1339512602
1849 0.1335604980
1877 0.1289646748
1904 0.1271664445
1926 0.1128841452
1946 0.1080596249
2053 0.1052441352
2162 0.1042051033
2170 0.1008864677
2227 0.0950058448
2333 0.0939113632
2358 0.0873934221
2360 0.0809616715
2443 0.0809610490
2455 0.0735199553
2512 0.0698724019
2545 0.0673175550
2574 0.0590347704
2619 0.0586172777
2636 0.0521234152
2726 0.0509056419
2784 0.0502959265
2815 0.0492180799
2839 0.0474537592
2859 0.0459356873
2871 0.0458016702
2911 0.0428086311
3123 0.0426707455
3126 0.0425401886
3143 0.0344939042
3469 0.0325308775
3522 0.0324949292
3528 0.0299548866
3638 0.0291597085
3689 0.0288330440
3739 0.0271810639
3825 0.0265350550
3847 0.0257246951
3891 0.0251514964
3906 0.0239978206
3994 0.0231012536
4024 0.0229410494
4029 0.0226619028
4032 0.0208745309
4248 0.0206126419
4296 0.0204725282
4307 0.0204181947
4309 0.0200354455
4365 0.0197502551
4370 0.0191072175
4451 0.0180123708
4541 0.0179153090
4627 0.0176598724
4710 0.0174827744
4945 0.0172553949
5013 0.0172126755
5184 0.0167445991
5227 0.0164192359
5422 0.0160815771
5587 0.0156829866
5727 0.0155802088
5782 0.0154722016
5829 0.0154002401
5851 0.0153749846
5888 0.0152304759
5904 0.0150998621
5979 0.0150927479
6187 0.0150884731
6314 0.0150019208
6435 0.0149658962
6502 0.0149083592
6519 0.0148810427
6569 0.0147798213
6574 0.0147564931
6605 0.0147151331
6699 0.0146559270
6750 0.0145789043
6772 0.0144849070
6806 0.0144825647
6817 0.0144819968
6820 0.0144167386
6947 0.0143295979
6988 0.0143195021
7002 0.0142369377
7077 0.0140773816
7404 0.0139829517
7524 0.0139609119
7526 0.0139601470
7531 0.0139539114
7747 0.0139449571
7828 0.0138757701
7976 0.0138746741
8044 0.0138568740
8054 0.0138544908
8066 0.0138443354
8106 0.0138071260
8260 0.0138038614
8267 0.0137962018
8278 0.0137910310
8359 0.0137897038
8381 0.0137653683
8468 0.0137364958
8812 0.0137360968
8870 0.0137261974
9156 0.0137191307
9159 0.0137088050
9213 0.0136952426
9443 0.0136936358
9457 0.0136931153
9468 0.0136882751
9660 0.0136754713
9896 0.0136722698
10130 0.0136716403
15143 0.0136260743
15169 0.0135476265
15183 0.0126155919
15216 0.0118206283
15255 0.0111844900
15291 0.0103897771
15301 0.0095852140
15370 0.0089770148
15386 0.0083862383
15430 0.0081615688
15470 0.0076713641
15524 0.0075671213
15545 0.0073676465
15556 0.0073386908
15570 0.0073344023
15578 0.0064014393
15590 0.0062272237
15613 0.0058244739
15706 0.0056120714
15709 0.0054927684
15723 0.0049282313
15793 0.0042788950
15853 0.0040422348
15940 0.0039909083
15951 0.0038791925
15960 0.0037654137
16028 0.0034711869
16074 0.0034652207
16081 0.0033718695
16106 0.0032253348
16177 0.0031128120
16190 0.0030349866
