evaluations raw_y
1 3.3939709034
2 1.7629790305
3 1.6365726214
21 1.0867460575
36 0.5730430071
71 0.4105837594
91 0.2881202933
117 0.1732005852
219 0.1428517885
263 0.1116206441
271 0.0959483245
274 0.0830264199
336 0.0618378871
386 0.0407885437
416 0.0305370817
487 0.0242764498
495 0.0181544454
516 0.0165995214
558 0.0100141826
601 0.0091871240
658 0.0083291131
672 0.0069738188
714 0.0050957223
751 0.0048645121
807 0.0042295915
857 0.0038619845
860 0.0036253518
893 0.0023280793
989 0.0018737642
1009 0.0011746917
1125 0.0011709294
1200 0.0010958266
1205 0.0009830900
1225 0.0009152491
1227 0.0007241447
1249 0.0005863597
1279 0.0004585237
1371 0.0003662882
1379 0.0002226701
1491 0.0001283146
1605 0.0001175353
1656 0.0000847103
1756 0.0000679056
1797 0.0000508964
1810 0.0000326328
1904 0.0000325027
1908 0.0000284497
1930 0.0000283018
1960 0.0000240525
1969 0.0000136327
2114 0.0000115611
2145 0.0000102099
2146 0.0000059647
2196 0.0000056772
2231 0.0000051540
2258 0.0000042372
2345 0.0000036982
2371 0.0000029488
2382 0.0000029250
2412 0.0000027443
2447 0.0000021548
2472 0.0000014958
2591 0.0000010875
2602 0.0000010039
2651 0.0000009194
2708 0.0000009149
2731 0.0000006746
2743 0.0000006631
2746 0.0000004753
2790 0.0000004424
2867 0.0000004385
2890 0.0000003725
2893 0.0000002174
2932 0.0000001419
2997 0.0000001406
3029 0.0000001306
3030 0.0000001298
3081 0.0000001048
3090 0.0000000757
3137 0.0000000713
3193 0.0000000665
3215 0.0000000570
3225 0.0000000560
3242 0.0000000513
3264 0.0000000455
3283 0.0000000435
3285 0.0000000394
3317 0.0000000231
3429 0.0000000174
3560 0.0000000116
3687 0.0000000110
3708 0.0000000108
3725 0.0000000105
3726 0.0000000093
3768 0.0000000084
3777 0.0000000076
3877 0.0000000039
3882 0.0000000034
3955 0.0000000032
4065 0.0000000026
4127 0.0000000024
4203 0.0000000020
4286 0.0000000017
4329 0.0000000012
4332 0.0000000008
4342 0.0000000005
4443 0.0000000004
4574 0.0000000003
4753 0.0000000002
5071 0.0000000001
10000 0.0000023103
evaluations raw_y
1 8.6330806690
2 6.1982623922
3 3.9929106966
13 2.3286634039
23 0.9485543073
65 0.5861256589
96 0.5820578872
100 0.4467590252
121 0.4467127650
129 0.3926388933
135 0.3025919475
174 0.1821845394
241 0.1172030355
274 0.0982143552
295 0.0981033673
311 0.0840564551
323 0.0764949318
373 0.0538633924
473 0.0483454873
485 0.0254824416
576 0.0197482861
601 0.0191153964
607 0.0112327757
720 0.0077138200
823 0.0050349097
848 0.0045449930
889 0.0038739980
924 0.0013688696
981 0.0008276525
1040 0.0007128315
1081 0.0006787041
1108 0.0003872570
1201 0.0003354383
1211 0.0001040265
1412 0.0001019543
1419 0.0000983315
1440 0.0000923347
1441 0.0000881701
1463 0.0000541874
1523 0.0000478211
1607 0.0000402817
1641 0.0000315250
1663 0.0000311288
1673 0.0000296029
1688 0.0000205950
1732 0.0000191920
1737 0.0000171172
1750 0.0000146855
1774 0.0000133032
1788 0.0000062893
1883 0.0000060292
1938 0.0000055133
2011 0.0000054077
2012 0.0000048950
2029 0.0000025577
2211 0.0000024509
2259 0.0000024493
2271 0.0000016545
2278 0.0000010122
2333 0.0000005533
2459 0.0000005218
2484 0.0000004072
2625 0.0000001927
2728 0.0000001292
2738 0.0000001247
2819 0.0000001160
2864 0.0000000545
3010 0.0000000450
3120 0.0000000449
3130 0.0000000411
3137 0.0000000371
3176 0.0000000346
3183 0.0000000230
3197 0.0000000206
3232 0.0000000198
3264 0.0000000173
3287 0.0000000169
3326 0.0000000128
3336 0.0000000126
3410 0.0000000102
3412 0.0000000053
3472 0.0000000052
3474 0.0000000049
3508 0.0000000042
3555 0.0000000025
3634 0.0000000017
3745 0.0000000016
3792 0.0000000013
3806 0.0000000011
3814 0.0000000009
3873 0.0000000008
3926 0.0000000006
3961 0.0000000005
4011 0.0000000004
4033 0.0000000002
4314 0.0000000001
5007 0.0000000000
10000 0.0000000446
evaluations raw_y
1 4.0511589789
2 3.2381215546
4 3.0239548459
18 1.5913527957
19 1.3939301314
59 1.2244790656
60 0.6383331379
92 0.3622570298
174 0.3089641275
192 0.2493840920
263 0.0959560530
368 0.0799511303
370 0.0739485449
440 0.0566764127
448 0.0437644505
530 0.0335514651
539 0.0277271211
540 0.0269053304
541 0.0252860949
564 0.0225119182
571 0.0122943844
779 0.0084443828
826 0.0083995204
863 0.0068602765
874 0.0062113268
974 0.0057450337
997 0.0053507694
1000 0.0042311213
1053 0.0019022732
1178 0.0015602999
1224 0.0015089430
1232 0.0013248891
1250 0.0012580343
1271 0.0009990467
1286 0.0007877525
1298 0.0006756430
1378 0.0004936878
1396 0.0002931394
1546 0.0002217924
1582 0.0001589233
1724 0.0001228626
1737 0.0001193779
1738 0.0001073149
1754 0.0001023554
1764 0.0000968987
1782 0.0000662042
1806 0.0000542591
1880 0.0000395098
1912 0.0000367085
1928 0.0000199594
2035 0.0000145104
2067 0.0000132828
2103 0.0000094150
2173 0.0000085173
2190 0.0000074757
2286 0.0000037401
2315 0.0000036311
2345 0.0000034824
2393 0.0000031678
2394 0.0000030966
2401 0.0000027090
2433 0.0000025952
2474 0.0000018583
2541 0.0000017124
2580 0.0000016126
2602 0.0000011128
2705 0.0000008180
2743 0.0000006341
2755 0.0000005867
2864 0.0000004350
2882 0.0000004287
2927 0.0000003098
2944 0.0000002014
2992 0.0000001897
3036 0.0000001268
3080 0.0000001165
3109 0.0000000599
3159 0.0000000418
3220 0.0000000396
3235 0.0000000217
3357 0.0000000170
3415 0.0000000138
3427 0.0000000122
3519 0.0000000118
3543 0.0000000100
3549 0.0000000083
3592 0.0000000082
3654 0.0000000041
3737 0.0000000035
3922 0.0000000029
3963 0.0000000025
3992 0.0000000021
3996 0.0000000017
4081 0.0000000014
4140 0.0000000004
4206 0.0000000003
4411 0.0000000002
5028 0.0000000001
10000 0.0000002896
evaluations raw_y
1 10.6032659316
2 9.8655537670
3 6.3085243419
4 5.1335587163
7 3.7753321822
8 3.7238218771
25 2.8467634508
42 2.6305360573
64 1.5868075669
86 1.2531336971
97 0.8952377438
139 0.7755713501
150 0.5545346876
184 0.5015545269
193 0.3381851677
201 0.2283602719
251 0.0754142580
404 0.0714332540
449 0.0601865413
488 0.0525296602
541 0.0383618348
576 0.0351741824
600 0.0297106162
606 0.0263437739
647 0.0254381970
657 0.0198351493
686 0.0196829763
695 0.0165157711
717 0.0156882688
766 0.0155237526
770 0.0154867770
772 0.0135510964
777 0.0123000412
796 0.0086740857
807 0.0083027233
825 0.0080920993
838 0.0071065236
869 0.0066916883
875 0.0063024205
905 0.0045942610
947 0.0033759611
951 0.0029231473
1000 0.0022986810
1033 0.0016457679
1119 0.0012473541
1139 0.0008967071
1186 0.0008739416
1236 0.0007322989
1249 0.0006310420
1252 0.0004211413
1287 0.0002175000
1401 0.0001152374
1546 0.0001123781
1588 0.0001106557
1604 0.0000653540
1678 0.0000580645
1702 0.0000271743
1867 0.0000233701
1868 0.0000226085
1879 0.0000199395
1971 0.0000138947
1994 0.0000069637
2068 0.0000067026
2070 0.0000045481
2153 0.0000040364
2164 0.0000037402
2182 0.0000036040
2263 0.0000030690
2282 0.0000026235
2301 0.0000025211
2340 0.0000018431
2349 0.0000014468
2420 0.0000008832
2496 0.0000008407
2578 0.0000008254
2586 0.0000007514
2593 0.0000006603
2616 0.0000006013
2621 0.0000004984
2632 0.0000002015
2728 0.0000001445
2845 0.0000001281
2890 0.0000001272
2915 0.0000000924
2981 0.0000000793
3025 0.0000000613
3086 0.0000000504
3129 0.0000000368
3188 0.0000000362
3205 0.0000000336
3234 0.0000000319
3253 0.0000000280
3259 0.0000000197
3390 0.0000000185
3404 0.0000000078
3557 0.0000000051
3597 0.0000000029
3715 0.0000000026
3942 0.0000000019
4004 0.0000000014
4224 0.0000000012
4272 0.0000000008
4330 0.0000000005
4440 0.0000000003
4673 0.0000000002
4983 0.0000000001
5875 0.0000000000
10000 0.0000003693
evaluations raw_y
1 7.8887621272
3 1.3983049830
40 0.9633105783
55 0.9131330211
58 0.7677600603
61 0.5941790887
87 0.4099797759
117 0.3132412697
151 0.2190641975
193 0.1924981570
204 0.1487848231
210 0.1306042020
257 0.1258476426
264 0.0758148274
270 0.0579180418
348 0.0517417244
388 0.0229362274
463 0.0118416843
544 0.0104155933
576 0.0092107130
682 0.0090939780
690 0.0072143821
721 0.0047005144
745 0.0042925201
770 0.0031864148
796 0.0027122908
890 0.0017148474
984 0.0014819394
1025 0.0007894379
1167 0.0004427061
1284 0.0003629195
1329 0.0001895042
1441 0.0001682997
1466 0.0001664643
1500 0.0001118624
1555 0.0000918557
1564 0.0000568177
