evaluations raw_y
1 9.1316544880
17 6.0142568213
24 5.0620921556
25 4.8048642342
41 3.7260998963
43 3.7090257130
47 2.7083615376
57 2.2812657198
62 2.0676262751
73 1.7119502121
90 1.6956035680
92 1.5334077697
102 1.4722772473
103 1.4066130054
107 0.7111766260
108 0.4071406115
165 0.4060478128
177 0.4056351609
182 0.3917456689
184 0.3632809824
186 0.2033168653
193 0.1563995313
277 0.1102789860
278 0.1009687098
385 0.0902947809
397 0.0805965873
445 0.0804941067
446 0.0804308342
448 0.0802839613
450 0.0745282131
469 0.0626074600
471 0.0477566161
485 0.0474767455
533 0.0383180695
534 0.0382954519
545 0.0339253376
546 0.0339252647
557 0.0307199505
558 0.0306857419
581 0.0228617231
593 0.0199833305
594 0.0199777915
605 0.0172029405
606 0.0171580727
725 0.0122598646
726 0.0122579683
785 0.0117306757
786 0.0117302661
821 0.0116698201
822 0.0116698066
833 0.0102255875
834 0.0102255011
845 0.0078194011
846 0.0078189129
856 0.0046118228
859 0.0044170154
860 0.0044168284
871 0.0042403758
872 0.0042397316
919 0.0034959288
974 0.0032413683
976 0.0028800540
993 0.0027770687
994 0.0027770672
1005 0.0024821828
1006 0.0024821556
1041 0.0023439087
1042 0.0023438825
1053 0.0019976658
1089 0.0018747558
1090 0.0018747500
1101 0.0015015416
1102 0.0015015279
1161 0.0014811962
1162 0.0014811715
1185 0.0013079435
1186 0.0013079417
1233 0.0012045041
1245 0.0010209159
1246 0.0010209112
1281 0.0009203114
1282 0.0009202854
1309 0.0008702139
1311 0.0006262886
1415 0.0005867910
1416 0.0005867753
1427 0.0005812460
1428 0.0005812259
1451 0.0005032233
1475 0.0003858239
1476 0.0003858131
1502 0.0003530396
1513 0.0003411337
1514 0.0003411184
1525 0.0002510741
1526 0.0002510438
1537 0.0002104658
1597 0.0001977065
1598 0.0001977057
1612 0.0001855450
1614 0.0001428775
1623 0.0000849036
1624 0.0000849015
1671 0.0000789158
1835 0.0000765412
1836 0.0000765297
1879 0.0000511329
1880 0.0000511199
1923 0.0000417681
1945 0.0000341165
1946 0.0000340996
1967 0.0000304210
1989 0.0000273778
2011 0.0000254916
2012 0.0000254873
2033 0.0000245849
2099 0.0000224295
2121 0.0000173260
2122 0.0000173250
2143 0.0000153215
2165 0.0000133650
2166 0.0000133528
2187 0.0000080848
2209 0.0000076145
2231 0.0000072555
2493 0.0000068726
2577 0.0000059432
2619 0.0000046876
2661 0.0000036617
2703 0.0000028163
2704 0.0000028155
2745 0.0000022957
2787 0.0000020315
2788 0.0000020274
2829 0.0000012159
2830 0.0000012103
2871 0.0000008897
2913 0.0000006230
2997 0.0000005560
3039 0.0000004998
3040 0.0000004833
3081 0.0000004554
3082 0.0000004480
3123 0.0000003825
3207 0.0000002903
3459 0.0000002762
3460 0.0000002693
3501 0.0000001877
3502 0.0000001836
3585 0.0000001824
3586 0.0000001768
3795 0.0000001396
3796 0.0000001333
4089 0.0000001294
4257 0.0000001242
4258 0.0000001229
4299 0.0000001089
4300 0.0000000965
4341 0.0000000917
4383 0.0000000796
4425 0.0000000731
4426 0.0000000690
4467 0.0000000614
4468 0.0000000606
4635 0.0000000497
4845 0.0000000356
5055 0.0000000256
5181 0.0000000212
5765 0.0000000193
5847 0.0000000100
5929 0.0000000039
6011 0.0000000038
6339 0.0000000034
6421 0.0000000022
7241 0.0000000014
8547 0.0000000007
8709 0.0000000005
8871 0.0000000003
11787 0.0000000002
18753 0.0000000001
20000 0.0000000013
evaluations raw_y
1 12.8059641960
3 10.8523516331
16 10.8022672288
24 7.3780211339
25 6.7357676668
35 6.3036129684
36 6.1446871261
41 5.1868323124
43 5.1251907562
47 5.0094245410
50 4.3848312076
51 3.2414810754
62 2.0622896498
63 1.2943694942
89 0.8747630230
91 0.7831167922
100 0.6872362437
112 0.6482546999
136 0.6398932012
160 0.5296492829
161 0.4016986891
172 0.3855216997
184 0.3278478156
196 0.2684361564
221 0.2474121009
232 0.1929664581
245 0.1833444117
256 0.1769169025
268 0.1644728156
280 0.1639952295
292 0.1558406939
304 0.1031633181
316 0.0862175068
317 0.0751534177
329 0.0742206527
393 0.0701659479
395 0.0380404981
438 0.0298700707
439 0.0297242020
462 0.0289735584
534 0.0235526390
597 0.0195341501
608 0.0171178876
632 0.0162063052
633 0.0161927283
644 0.0132759897
645 0.0132710222
668 0.0121617425
680 0.0120721463
681 0.0120719259
784 0.0120080171
786 0.0108520409
790 0.0098882422
814 0.0091246163
826 0.0088945360
850 0.0078198060
862 0.0074242911
874 0.0057881568
886 0.0038814149
898 0.0035464775
899 0.0035464706
910 0.0030061262
1052 0.0027780740
1053 0.0027780606
1074 0.0022882074
1075 0.0022882000
1096 0.0015228403
1097 0.0015228023
1140 0.0010865054
1162 0.0007492152
1206 0.0006515585
1207 0.0006515513
1250 0.0005384356
1294 0.0004042660
1316 0.0003451235
1470 0.0003313446
1492 0.0003105348
1493 0.0003105194
1558 0.0002465287
1559 0.0002465106
1602 0.0002246484
1624 0.0002124409
1625 0.0002124388
1668 0.0002047038
1778 0.0001377654
1779 0.0001377598
1800 0.0001225059
1801 0.0001224937
1822 0.0001104932
1823 0.0001104892
1844 0.0000845261
1845 0.0000845019
1866 0.0000669577
1867 0.0000669527
2020 0.0000580631
2152 0.0000446998
2328 0.0000443506
2350 0.0000324494
2351 0.0000324482
2394 0.0000296920
2395 0.0000296911
2416 0.0000209895
2417 0.0000209888
2438 0.0000166263
2460 0.0000128767
2461 0.0000128635
2504 0.0000103399
2505 0.0000103372
2526 0.0000089058
2527 0.0000088961
2570 0.0000086038
2832 0.0000074566
2833 0.0000074533
2874 0.0000058602
2875 0.0000058588
2916 0.0000045646
2917 0.0000045632
2958 0.0000036193
2959 0.0000036049
3042 0.0000035340
3043 0.0000035241
3084 0.0000032489
3126 0.0000029345
3127 0.0000029253
3168 0.0000023720
3294 0.0000019282
3504 0.0000016046
3505 0.0000015919
3672 0.0000014553
3673 0.0000014377
3714 0.0000012241
3715 0.0000011878
3756 0.0000011524
3757 0.0000011132
3798 0.0000008229
3840 0.0000006620
3882 0.0000003447
3883 0.0000003377
3924 0.0000002200
4344 0.0000002124
4345 0.0000002090
4386 0.0000001739
4470 0.0000001461
4471 0.0000001436
4554 0.0000001398
4596 0.0000000913
4597 0.0000000852
4680 0.0000000839
4848 0.0000000800
4849 0.0000000749
5058 0.0000000634
5436 0.0000000538
5730 0.0000000537
5731 0.0000000508
5772 0.0000000477
5982 0.0000000391
6024 0.0000000387
6108 0.0000000332
6150 0.0000000272
6192 0.0000000207
6234 0.0000000159
6360 0.0000000134
6570 0.0000000121
6654 0.0000000115
6696 0.0000000074
6822 0.0000000060
6864 0.0000000059
7284 0.0000000052
7326 0.0000000039
7368 0.0000000038
7410 0.0000000031
7536 0.0000000022
7662 0.0000000021
7704 0.0000000014
7830 0.0000000008
8579 0.0000000006
8661 0.0000000005
8825 0.0000000003
10137 0.0000000002
12351 0.0000000001
20000 0.0000000001
evaluations raw_y
1 73.9180865241
2 10.2692627464
20 8.5451492606
25 8.5264664823
27 7.7343207383
33 7.5494178111
34 4.8362843466
42 4.6385967631
43 3.9207254229
50 3.6325782439
54 3.2518444023
56 3.1878321378
62 2.2282475595
73 2.1583671835
75 2.0339865488
76 1.9083311273
82 1.7039472895
84 1.5285571118
90 1.4776376084
102 1.1538415448
108 1.1362251533
110 1.0413538411
116 0.9343538308
118 0.8538996354
119 0.8349892132
131 0.8031647534
143 0.7172776313
153 0.2992235580
181 0.2976676592
182 0.2766228817
214 0.2343080335
255 0.2015339895
256 0.1921518475
279 0.1702616643
280 0.1631939423
303 0.1489594652
308 0.1446248904
310 0.0794285049
365 0.0635501211
377 0.0562124039
378 0.0551847259
485 0.0534486987
486 0.0534003893
497 0.0389862523
498 0.0388455130
545 0.0306052077
546 0.0305034076
557 0.0301611012
558 0.0301183592
559 0.0257755246
561 0.0180045040
571 0.0160757303
572 0.0160712343
595 0.0134837586
596 0.0133422438
607 0.0119425786
679 0.0102329003
680 0.0102026720
691 0.0096109876
692 0.0096072361
703 0.0094443043
774 0.0065606694
776 0.0063165322
825 0.0054918247
826 0.0054903541
861 0.0051254359
862 0.0051245344
885 0.0045717857
886 0.0045716909
909 0.0038530515
910 0.0038525887
921 0.0029100508
957 0.0022780764
981 0.0022418253
982 0.0022417617
993 0.0018332903
1005 0.0017930828
1017 0.0017796957
1065 0.0015991488
1077 0.0015262765
1089 0.0013476699
1149 0.0013357274
1150 0.0013357215
1185 0.0012508382
1186 0.0012508331
1197 0.0011487367
1203 0.0009383122
1205 0.0008192365
1211 0.0007596547
1212 0.0007596386
1283 0.0007587092
1295 0.0007339494
1307 0.0006888761
1319 0.0006298625
1331 0.0005126680
1332 0.0005126625
1355 0.0004616001
1356 0.0004615923
1391 0.0003807996
1392 0.0003807992
1403 0.0003088398
1511 0.0002671923
1523 0.0002138469
1571 0.0001821548
1583 0.0001477329
1607 0.0001466758
1608 0.0001466685
1611 0.0001244453
1613 0.0001135126
1621 0.0001042866
1622 0.0001042814
1693 0.0000990706
1705 0.0000970541
1706 0.0000970526
1741 0.0000582762
1742 0.0000582749
1765 0.0000539066
1766 0.0000539024
1777 0.0000517773
1861 0.0000444024
1885 0.0000410931
1886 0.0000410884
1897 0.0000335068
1921 0.0000312570
1933 0.0000261311
2005 0.0000253383
2017 0.0000201837
2029 0.0000173847
2030 0.0000173747
2089 0.0000127762
2090 0.0000127698
2113 0.0000093200
2185 0.0000078859
2197 0.0000046558
2269 0.0000045163
2270 0.0000045150
2438 0.0000041248
2440 0.0000036642
2457 0.0000027000
2501 0.0000025211
2567 0.0000024640
2568 0.0000024556
2589 0.0000021760
2590 0.0000021741
2611 0.0000020548
2633 0.0000019582
2655 0.0000014194
2656 0.0000014121
2699 0.0000012308
2787 0.0000009928
2853 0.0000009345
2875 0.0000007929
2897 0.0000007065
2898 0.0000007057
2919 0.0000004634
2920 0.0000004571
2941 0.0000004445
2942 0.0000004358
3007 0.0000002836
3008 0.0000002806
3029 0.0000002135
3051 0.0000001896
3052 0.0000001880
3095 0.0000001740
3117 0.0000001651
3139 0.0000001536
3161 0.0000001300
3228 0.0000001228
3250 0.0000001181
3337 0.0000000893
