evaluations raw_y
1 30.6091068426
5 29.3521344930
6 25.3298195991
7 8.9643222496
43 4.0412904782
83 3.7757957215
86 3.7108008777
91 1.5064209186
323 1.0579863397
383 0.7414836517
458 0.7167698315
541 0.6286163516
566 0.3952125858
607 0.3461146055
818 0.2784317364
889 0.2742672846
936 0.1017014544
940 0.1003125538
1251 0.0853321619
1299 0.0852599914
1309 0.0810676661
1340 0.0788512254
1383 0.0774664298
1385 0.0595020178
1414 0.0563979108
1416 0.0516748189
1546 0.0442927068
1617 0.0410857899
1732 0.0364194294
1748 0.0362862556
1792 0.0286039937
1803 0.0208986717
1979 0.0181841980
1982 0.0178480885
1987 0.0165371612
2012 0.0158075948
2023 0.0113966689
2027 0.0107822323
2052 0.0107377892
2134 0.0095281559
2216 0.0077252016
2224 0.0059955544
2294 0.0053471387
2331 0.0038178484
2424 0.0036465268
2430 0.0035304878
2532 0.0024784816
2578 0.0023499564
2596 0.0023468909
2618 0.0020247450
2665 0.0019038755
2714 0.0018633089
2720 0.0016776417
2784 0.0011663468
2819 0.0010126440
2832 0.0009244790
2863 0.0008578407
2949 0.0007895646
3039 0.0007750954
3058 0.0006760660
3153 0.0005119400
3179 0.0004312202
3228 0.0003416491
3233 0.0003341471
3498 0.0003175100
3503 0.0002920008
3567 0.0002851474
3570 0.0002500830
3581 0.0002328450
3622 0.0002289263
3660 0.0002100775
3700 0.0001855087
3704 0.0001820131
3781 0.0001727522
3789 0.0001560910
3836 0.0001554813
3840 0.0001269514
3865 0.0000942551
3902 0.0000810875
3950 0.0000521106
3982 0.0000452047
4070 0.0000422507
4143 0.0000232789
4455 0.0000162922
4464 0.0000148950
4601 0.0000116920
4706 0.0000108138
4711 0.0000102702
4744 0.0000100939
4760 0.0000100135
4785 0.0000092198
4790 0.0000091092
4836 0.0000074901
4869 0.0000069458
4983 0.0000067906
4990 0.0000058784
5038 0.0000054896
5065 0.0000051553
5069 0.0000042751
5145 0.0000041184
5150 0.0000035312
5179 0.0000025959
5313 0.0000023098
5444 0.0000021479
5447 0.0000015461
5466 0.0000014596
5486 0.0000014288
5582 0.0000013126
5670 0.0000010514
5911 0.0000007010
5993 0.0000006071
6191 0.0000004320
6270 0.0000004097
6273 0.0000004040
6274 0.0000003934
6277 0.0000003562
6296 0.0000003149
6299 0.0000002605
6352 0.0000001929
6441 0.0000001547
6565 0.0000001342
6570 0.0000001125
6675 0.0000000966
6725 0.0000000909
6796 0.0000000758
6872 0.0000000592
6922 0.0000000305
7121 0.0000000275
7278 0.0000000193
7291 0.0000000181
7397 0.0000000159
7439 0.0000000155
7477 0.0000000119
7648 0.0000000064
7757 0.0000000059
7770 0.0000000053
7848 0.0000000043
7881 0.0000000033
7924 0.0000000031
8040 0.0000000025
8079 0.0000000021
8201 0.0000000016
8206 0.0000000013
8239 0.0000000011
8477 0.0000000006
8744 0.0000000004
8884 0.0000000003
9211 0.0000000002
10576 0.0000000001
20000 0.0000000000
evaluations raw_y
1 16.0117064095
2 14.0426851805
4 10.9319370761
25 10.0909758474
42 8.5098251487
54 5.0926101103
58 2.0641178481
82 2.0161384785
137 1.5712432059
141 1.1767470071
178 0.7839804612
263 0.7500500726
378 0.6945192309
408 0.4801894839
733 0.4051609068
735 0.3862735740
768 0.3757848743
772 0.3130292591
815 0.2797696304
850 0.1806680269
1008 0.1076030837
1102 0.0968921609
1131 0.0924334700
1136 0.0810123895
1172 0.0481636783
1370 0.0463719583
1374 0.0394372383
1409 0.0325894535
1530 0.0304586479
1612 0.0209492006
1865 0.0148504690
1978 0.0141662048
1995 0.0133055708
2060 0.0103714837
2115 0.0103163115
2147 0.0102586442
2173 0.0090618393
2183 0.0083412683
2260 0.0076956428
2267 0.0071798918
2276 0.0063606863
2426 0.0058126811
2430 0.0029425631
2680 0.0025641242
2739 0.0018862797
2819 0.0017912702
2865 0.0017344867
2952 0.0016085881
2954 0.0012258189
3023 0.0012174018
3085 0.0011186385
3098 0.0007061883
3220 0.0006420401
3266 0.0004261413
3392 0.0003950801
3472 0.0003222597
3559 0.0002627284
3631 0.0002449829
3660 0.0002379278
3752 0.0001586784
3761 0.0001308720
3947 0.0001064215
3986 0.0001000579
4029 0.0000980825
4070 0.0000901932
4159 0.0000641137
4226 0.0000582958
4235 0.0000570764
4274 0.0000488125
4344 0.0000374030
4400 0.0000349665
4479 0.0000320284
4506 0.0000286420
4549 0.0000279636
4591 0.0000260982
4648 0.0000214760
4667 0.0000180649
4726 0.0000175524
4730 0.0000166343
4757 0.0000140901
4799 0.0000134894
4808 0.0000129457
4828 0.0000118844
4833 0.0000097119
4852 0.0000076822
4949 0.0000045329
5151 0.0000045058
5156 0.0000031660
5360 0.0000026135
5438 0.0000023182
5442 0.0000019056
5488 0.0000014577
5534 0.0000012723
5557 0.0000012234
5670 0.0000011697
5675 0.0000010932
5702 0.0000010649
5804 0.0000009259
5809 0.0000008001
5811 0.0000006209
5860 0.0000005336
5870 0.0000003317
5875 0.0000003291
5919 0.0000003233
6153 0.0000002862
6158 0.0000002393
6220 0.0000001753
6241 0.0000001572
6245 0.0000001564
6274 0.0000001159
6314 0.0000001078
6331 0.0000001019
6364 0.0000000980
6447 0.0000000951
6469 0.0000000760
6499 0.0000000757
6513 0.0000000746
6554 0.0000000722
6561 0.0000000701
6580 0.0000000677
6586 0.0000000652
6596 0.0000000620
6610 0.0000000573
6720 0.0000000493
6725 0.0000000469
6961 0.0000000384
7004 0.0000000302
7077 0.0000000293
7112 0.0000000290
7131 0.0000000235
7247 0.0000000171
7292 0.0000000155
7519 0.0000000112
7535 0.0000000099
7539 0.0000000098
7560 0.0000000096
7565 0.0000000093
7628 0.0000000060
7734 0.0000000049
7847 0.0000000047
