evaluations raw_y
1 7.8483596669
9 1.9269959829
43 1.6548263939
48 1.6507443896
53 0.6718271733
103 0.3403014782
147 0.2324497103
337 0.1780096895
561 0.1604055293
589 0.0948382696
616 0.0647740111
663 0.0551756589
793 0.0546566353
796 0.0455859634
815 0.0372596884
950 0.0305409910
1199 0.0270937496
1265 0.0200265146
1291 0.0198116753
1315 0.0193296798
1324 0.0169028301
1356 0.0167906789
1370 0.0161556089
1378 0.0127238017
1390 0.0123664940
1398 0.0121776841
1430 0.0100214653
1434 0.0085916034
1437 0.0054329131
1687 0.0051194702
1750 0.0039137168
1776 0.0012913815
1950 0.0010024179
2050 0.0009601763
2097 0.0008681022
2102 0.0004695852
2306 0.0000424158
2623 0.0000360612
2657 0.0000308464
2716 0.0000216949
2903 0.0000207275
2907 0.0000101400
2990 0.0000077145
3059 0.0000046524
3108 0.0000036953
3153 0.0000023291
3224 0.0000021855
3262 0.0000020436
3293 0.0000017557
3303 0.0000011141
3371 0.0000007520
3387 0.0000006395
3454 0.0000004262
3550 0.0000004071
3562 0.0000002859
3583 0.0000002287
3614 0.0000002170
3619 0.0000001942
3672 0.0000001246
3685 0.0000001058
3731 0.0000000963
3750 0.0000000912
3792 0.0000000880
3795 0.0000000795
3847 0.0000000717
3934 0.0000000463
3936 0.0000000421
3966 0.0000000395
3980 0.0000000218
4127 0.0000000190
4218 0.0000000176
4220 0.0000000140
4334 0.0000000101
4387 0.0000000086
4423 0.0000000063
4608 0.0000000039
4612 0.0000000026
4722 0.0000000023
4821 0.0000000022
4887 0.0000000017
5005 0.0000000010
5191 0.0000000006
5303 0.0000000005
5321 0.0000000003
5599 0.0000000002
6362 0.0000000001
10000 0.0000000000
evaluations raw_y
1 26.3219961315
2 9.1041955117
4 8.9822866849
11 8.4047290336
14 6.6831153245
16 3.7447170989
34 0.3825203898
196 0.3406939506
344 0.3228922749
360 0.3039778816
385 0.2903538279
386 0.2899481982
396 0.1814815648
455 0.1617945810
519 0.1535304102
541 0.1479061091
596 0.1046747361
649 0.0806388166
679 0.0762537074
684 0.0752764417
714 0.0636580633
717 0.0368375394
745 0.0364315916
772 0.0344636942
884 0.0201362057
942 0.0148147675
952 0.0145858502
1177 0.0143693725
1179 0.0110893329
1187 0.0071380456
1297 0.0052883149
1371 0.0041310501
1372 0.0040122862
1398 0.0038833259
1430 0.0037002326
1502 0.0035084402
1525 0.0018502884
1704 0.0017964762
1711 0.0016704560
1716 0.0014852947
1743 0.0009342543
1750 0.0008777687
1784 0.0004925424
1787 0.0002357928
2077 0.0002107629
2165 0.0001155139
2389 0.0000998579
2474 0.0000966763
2503 0.0000366321
2620 0.0000322578
2644 0.0000187281
2715 0.0000141526
2775 0.0000079483
2807 0.0000039553
2981 0.0000035513
3002 0.0000030391
3057 0.0000026765
3076 0.0000014949
3199 0.0000011146
3292 0.0000011099
3357 0.0000005789
3394 0.0000005622
3406 0.0000002856
3663 0.0000001699
3682 0.0000001424
3791 0.0000000794
3864 0.0000000638
3890 0.0000000562
3924 0.0000000436
4005 0.0000000427
4008 0.0000000298
4082 0.0000000224
4100 0.0000000178
4102 0.0000000169
4131 0.0000000143
4159 0.0000000091
4164 0.0000000062
4220 0.0000000043
4422 0.0000000041
4454 0.0000000028
4503 0.0000000020
4753 0.0000000015
4812 0.0000000009
5053 0.0000000007
5100 0.0000000004
5374 0.0000000002
6367 0.0000000001
10000 0.1489038359
evaluations raw_y
1 2.1241894217
2 0.9005890546
41 0.4401666787
162 0.3798709268
167 0.3555774291
199 0.3316369558
232 0.3300747979
349 0.3257080452
369 0.1464913756
559 0.1403547592
605 0.1324909389
660 0.1220505420
692 0.0794899604
726 0.0771904936
749 0.0739304700
805 0.0551834365
808 0.0449168526
816 0.0346971508
828 0.0317627201
924 0.0251456526
927 0.0250548512
946 0.0175532207
977 0.0146220891
1022 0.0113573752
1163 0.0100238835
1168 0.0098978477
1173 0.0077121992
1237 0.0076911713
1259 0.0066079534
1325 0.0043288781
1330 0.0032689829
1404 0.0028023221
1454 0.0018575887
1526 0.0014098888
1530 0.0013358742
1558 0.0005670323
1594 0.0004606205
1747 0.0004480215
1807 0.0003361802
1812 0.0001945392
2012 0.0001619684
2017 0.0001520036
2037 0.0000573766
2178 0.0000566949
2271 0.0000349502
2280 0.0000339957
2332 0.0000327904
2352 0.0000327072
2367 0.0000317384
2404 0.0000268109
2421 0.0000255355
2468 0.0000186100
2530 0.0000154239
2610 0.0000148833
2615 0.0000134748
2643 0.0000105590
2645 0.0000093879
2857 0.0000038614
2890 0.0000031868
2970 0.0000024411
3034 0.0000022264
3150 0.0000021269
3166 0.0000020216
3173 0.0000006950
3321 0.0000001946
3380 0.0000001642
3423 0.0000001136
3440 0.0000000972
3546 0.0000000904
3551 0.0000000519
3573 0.0000000391
3752 0.0000000323
3781 0.0000000282
3848 0.0000000262
3873 0.0000000250
3877 0.0000000239
3880 0.0000000224
3884 0.0000000152
3932 0.0000000134
3937 0.0000000119
4000 0.0000000095
4035 0.0000000070
4080 0.0000000066
4177 0.0000000061
4204 0.0000000053
4226 0.0000000045
4228 0.0000000037
