evaluations raw_y
1 8.6590844844
2 3.6275726336
5 3.1668946673
8 1.3758575125
11 0.6493016202
13 0.5588137586
55 0.5224925552
57 0.4765877423
60 0.3889928288
61 0.3345347066
70 0.2563121608
77 0.2227957566
98 0.2180020947
117 0.1147153829
225 0.1063257415
226 0.1046630217
261 0.0597721572
369 0.0498270396
370 0.0497481771
393 0.0308442452
425 0.0287294209
443 0.0149662055
639 0.0129467912
640 0.0129447158
673 0.0090529615
741 0.0057985285
742 0.0057981656
843 0.0019972849
844 0.0019965612
2004 0.0016430133
2005 0.0016430077
2134 0.0013453654
2135 0.0013453370
2654 0.0012810798
2655 0.0012810737
2914 0.0012757647
2915 0.0012757508
3044 0.0011584841
3045 0.0011584685
3304 0.0010983181
3305 0.0010983133
3434 0.0007896029
3435 0.0007895911
3824 0.0006014996
3825 0.0006014932
3954 0.0004528400
3955 0.0004528357
4084 0.0004171784
4085 0.0004171616
4604 0.0003798668
4605 0.0003798633
4734 0.0003340581
4735 0.0003340348
4864 0.0003018249
4865 0.0003017974
5124 0.0002172437
5125 0.0002172262
5904 0.0001433785
5905 0.0001433689
6684 0.0001211543
6814 0.0001069468
6815 0.0001069387
6944 0.0001025180
6945 0.0001025131
7334 0.0000615576
7335 0.0000615354
7464 0.0000365853
8892 0.0000295490
8893 0.0000295438
10000 0.0000316242
evaluations raw_y
1 14.3154637956
2 4.2934877787
4 2.0792758046
15 1.6692672016
16 1.4541861164
17 0.5429931366
22 0.4140623321
23 0.4064136772
32 0.4012658791
42 0.3833539951
44 0.1878113647
46 0.1614882612
54 0.1482891521
64 0.0802484642
144 0.0696812677
289 0.0544985454
290 0.0544832098
361 0.0353614754
371 0.0281732865
373 0.0137302350
525 0.0128686469
526 0.0128494514
543 0.0097326916
544 0.0097283766
579 0.0079129965
580 0.0079020873
633 0.0055945910
1000 0.0032483883
1102 0.0027913724
1103 0.0027913638
1272 0.0015687952
1306 0.0014213747
1307 0.0014213693
1408 0.0012422807
1510 0.0007500283
1782 0.0002954022
1816 0.0002817486
1817 0.0002817418
2387 0.0002663878
2388 0.0002663799
2585 0.0002269008
2783 0.0002051406
3113 0.0001185451
3377 0.0001070928
3443 0.0000924365
3509 0.0000811937
3575 0.0000734151
3641 0.0000425126
3642 0.0000425093
3707 0.0000421205
4103 0.0000336596
4104 0.0000336484
4433 0.0000272130
4434 0.0000272036
4565 0.0000177289
4566 0.0000177015
4895 0.0000147494
5027 0.0000124577
5291 0.0000093016
5292 0.0000092830
5357 0.0000039693
5951 0.0000035228
5952 0.0000035223
6149 0.0000016703
7003 0.0000015558
7263 0.0000012256
7264 0.0000012099
8043 0.0000010475
8044 0.0000010424
8173 0.0000008223
8174 0.0000008146
8953 0.0000007446
9083 0.0000003649
9473 0.0000002042
10000 0.0000269646
evaluations raw_y
1 8.5879888338
2 3.5403628047
