evaluations raw_y
1 13.1922326372
4 4.1499381455
61 3.7222505399
103 3.6934003438
104 2.3584198173
141 2.3439787011
155 2.0943315156
262 1.7075013176
454 1.4298939266
463 1.3661712965
751 0.8452525804
915 0.8227678779
917 0.8049359902
1076 0.7383143626
1225 0.5315635148
1280 0.4825424701
1391 0.4463034696
1451 0.4207011448
1481 0.3089858315
1682 0.2553210817
2006 0.2406452842
2089 0.2237991617
2196 0.1916521489
2225 0.1856348093
2290 0.1456779803
2573 0.1261645374
2653 0.1212549899
2697 0.1083107212
2823 0.0714353313
2936 0.0419839582
3104 0.0389236622
3461 0.0388390482
3506 0.0326796266
3511 0.0250347689
3715 0.0238660326
3766 0.0228136134
3916 0.0217403607
4059 0.0216643330
4067 0.0188007949
4104 0.0148515021
4117 0.0126698630
4322 0.0118749562
4523 0.0116701603
4641 0.0112998478
4675 0.0107709753
4724 0.0084770158
4916 0.0083290471
4926 0.0066578506
5128 0.0063294001
5239 0.0061643566
5321 0.0054178307
5329 0.0035052774
5640 0.0027490859
5739 0.0027269244
5897 0.0025950019
5940 0.0023653136
6041 0.0020847290
6144 0.0016050086
6348 0.0014141182
6551 0.0013461505
6589 0.0010600031
6916 0.0010524734
6925 0.0009701363
6949 0.0008378555
6961 0.0007504655
7088 0.0007282546
7162 0.0007252541
7239 0.0007137811
7363 0.0007062752
7436 0.0005668423
7485 0.0004713866
7564 0.0003609521
7768 0.0003178834
7920 0.0002578336
7969 0.0002281039
8310 0.0002047703
8311 0.0001985404
8329 0.0001875527
8380 0.0001860610
8474 0.0001785991
8490 0.0001295244
8707 0.0000744123
8980 0.0000666386
9048 0.0000639428
9102 0.0000512184
9199 0.0000473076
9400 0.0000460945
9411 0.0000433947
9510 0.0000401059
9601 0.0000260910
9805 0.0000259218
9976 0.0000238384
10006 0.0000206299
10181 0.0000184982
10200 0.0000159535
10207 0.0000122513
10506 0.0000113757
10587 0.0000102315
10617 0.0000085633
10821 0.0000085566
10849 0.0000082270
10959 0.0000078300
10972 0.0000053842
11022 0.0000050724
11226 0.0000039221
11430 0.0000037140
11614 0.0000035659
11631 0.0000032594
11832 0.0000029304
11892 0.0000029209
11982 0.0000025929
12036 0.0000024294
12128 0.0000017803
12343 0.0000016638
12427 0.0000015126
12443 0.0000011488
12647 0.0000008913
12857 0.0000008768
12861 0.0000007020
13014 0.0000006894
13041 0.0000006510
13054 0.0000006381
13149 0.0000005723
13254 0.0000005425
13446 0.0000005029
13461 0.0000004699
13569 0.0000004583
13665 0.0000001861
13972 0.0000001539
14072 0.0000001152
14273 0.0000000908
14397 0.0000000849
14614 0.0000000843
14656 0.0000000821
14683 0.0000000674
14884 0.0000000593
14944 0.0000000475
15203 0.0000000467
15291 0.0000000367
15304 0.0000000362
15607 0.0000000335
15665 0.0000000316
15698 0.0000000303
15826 0.0000000276
15902 0.0000000213
16028 0.0000000187
16103 0.0000000148
16307 0.0000000108
16477 0.0000000099
16486 0.0000000093
16605 0.0000000083
16741 0.0000000080
16854 0.0000000075
16959 0.0000000066
17073 0.0000000037
17423 0.0000000031
17549 0.0000000029
17564 0.0000000027
17642 0.0000000023
20000 0.0000000044
evaluations raw_y
1 19.4839718883
7 17.4893359546
15 10.0266135680
30 6.9894084088
61 6.2973751705
68 4.4054888100
226 2.7200555362
262 2.1671254681
463 2.1392716548
658 1.8125686290
664 1.8007270513
837 1.5607353985
865 1.4419473932
1066 1.3073917065
1087 0.8081352722
1280 0.7940981160
1319 0.6929101393
1473 0.6529254413
1564 0.4712721834
1677 0.3971558947
1878 0.3575777244
1935 0.3315688018
2009 0.3202782796
2016 0.2912471248
2018 0.2525525540
2079 0.1864749343
2283 0.1654395716
2422 0.1301142540
2484 0.1162782976
2685 0.1091856727
2881 0.1073311371
2886 0.0867519591
3060 0.0781488693
3090 0.0649175669
3225 0.0606813443
3248 0.0536869475
3294 0.0532406864
3495 0.0529799258
3542 0.0493011330
3624 0.0456834008
3699 0.0429872996
3880 0.0413510108
3898 0.0395903052
3900 0.0327767892
4101 0.0320025336
4153 0.0293598051
4286 0.0267105949
4302 0.0249454715
4482 0.0227627558
4503 0.0177792840
4704 0.0160078775
4753 0.0117877498
4901 0.0091300553
5099 0.0082858694
5186 0.0078165667
5317 0.0059835531
5522 0.0058549877
5572 0.0048607128
5723 0.0039347271
5924 0.0037699847
5972 0.0037637331
6105 0.0035447395
6125 0.0025763977
6170 0.0025729501
6326 0.0022656795
6507 0.0022247278
6527 0.0015994121
6713 0.0015125254
6869 0.0013731724
6880 0.0013473480
6934 0.0010658144
7138 0.0009813382
7273 0.0009560193
7282 0.0008094982
7292 0.0008020331
7342 0.0007441690
7430 0.0006287130
7535 0.0006175438
7543 0.0005596149
7747 0.0004573968
7909 0.0004442615
7915 0.0003494623
7948 0.0002755356
8101 0.0002513429
8358 0.0002411474
8413 0.0002200067
8496 0.0001943967
8559 0.0001842182
8763 0.0001623100
8826 0.0001517472
8964 0.0001443788
9049 0.0001351592
9050 0.0001310078
9055 0.0001095581
9199 0.0001087931
9258 0.0001039771
9264 0.0000827547
9371 0.0000699041
9567 0.0000687243
9575 0.0000500297
9779 0.0000409251
9843 0.0000397047
9980 0.0000301284
10184 0.0000250190
10404 0.0000212186
10426 0.0000196274
10498 0.0000161963
10683 0.0000153940
10849 0.0000140513
10964 0.0000127880
10976 0.0000092191
11104 0.0000083993
11209 0.0000083235
11370 0.0000082004
11410 0.0000061307
11524 0.0000060536
11614 0.0000060153
11815 0.0000051413
11865 0.0000049821
11977 0.0000044767
