evaluations raw_y
1 5.7557505751
3 1.3503699048
31 1.2126499089
40 0.6743292771
52 0.4470799000
69 0.3534445972
95 0.2453911518
222 0.2443315526
286 0.2407861841
480 0.2303662114
499 0.2221675281
599 0.2028971704
610 0.1687229702
699 0.1543915108
728 0.1510569781
737 0.0696434317
801 0.0682723563
862 0.0608560007
993 0.0587975732
1057 0.0515538472
1131 0.0199736194
1341 0.0190330183
1456 0.0188395339
1470 0.0166285111
1514 0.0138466038
1565 0.0129612975
1575 0.0107030376
1636 0.0105410875
1701 0.0089096803
1704 0.0080670194
1762 0.0067481303
1824 0.0060403389
1885 0.0054649457
1951 0.0053094972
2054 0.0048743273
2078 0.0046380813
2096 0.0044937923
2109 0.0037660442
2139 0.0029274804
2200 0.0028497651
2261 0.0025659745
2327 0.0024575827
2391 0.0023078555
2428 0.0022822281
2452 0.0022449496
2475 0.0019741836
2514 0.0013574374
2578 0.0011376798
2632 0.0008873679
2639 0.0007607225
2700 0.0006377506
2764 0.0004709857
2891 0.0004198215
2950 0.0003375873
3018 0.0002756632
3119 0.0002413117
3151 0.0002189072
3343 0.0002157797
3421 0.0001671492
3520 0.0001314748
3539 0.0001284389
3657 0.0001080527
3669 0.0001029117
3777 0.0000996798
3782 0.0000758964
3796 0.0000715740
3824 0.0000701480
3923 0.0000614865
3971 0.0000556067
3987 0.0000455197
4015 0.0000433766
4048 0.0000380883
4109 0.0000363339
4173 0.0000359447
4187 0.0000175929
4300 0.0000172461
4361 0.0000117735
4472 0.0000102549
4492 0.0000099814
4504 0.0000047574
4724 0.0000031081
4785 0.0000023437
5015 0.0000019882
5076 0.0000017940
5133 0.0000016619
5140 0.0000010267
5266 0.0000009589
5307 0.0000008676
5399 0.0000005322
5447 0.0000005018
5664 0.0000003093
5731 0.0000002193
5859 0.0000002186
5907 0.0000002146
5920 0.0000001557
5984 0.0000001147
6048 0.0000001030
6168 0.0000000949
6175 0.0000000710
6248 0.0000000663
6305 0.0000000396
6482 0.0000000343
6501 0.0000000265
6562 0.0000000193
6677 0.0000000168
6835 0.0000000119
6989 0.0000000115
7046 0.0000000097
7054 0.0000000093
7128 0.0000000092
7151 0.0000000088
7193 0.0000000031
7533 0.0000000028
10000 10.5477849040
evaluations raw_y
1 3.5110023866
15 1.8824711286
19 1.4047443591
34 1.0062998617
98 0.8513997644
162 0.7798216124
191 0.7405359346
223 0.4292361552
284 0.3075829932
345 0.2951044817
409 0.2897992381
473 0.2862498500
537 0.2657195539
559 0.2467956634
598 0.2093040461
662 0.2034707084
723 0.1619008840
901 0.1576294761
916 0.1553113285
923 0.1382010504
977 0.1315574527
1041 0.1138110088
1105 0.1069635628
1116 0.0947038833
1166 0.0872903329
1198 0.0634585623
1230 0.0565034526
1294 0.0477470433
1355 0.0382369190
1381 0.0366174547
1406 0.0312685493
1419 0.0145261623
1731 0.0110706639
1870 0.0082151787
1876 0.0077910366
1937 0.0072576805
1991 0.0067250767
2001 0.0043431543
2065 0.0032695746
2177 0.0026132719
2192 0.0023006677
2322 0.0020469243
2381 0.0018980405
2414 0.0016852865
2452 0.0012237418
2582 0.0011861364
2643 0.0011073143
2726 0.0007496189
2780 0.0003980937
3040 0.0003220946
3054 0.0002229343
3100 0.0001137782
3296 0.0000981862
3360 0.0000972705
3466 0.0000916017
3487 0.0000798694
3529 0.0000495651
3551 0.0000233678
3810 0.0000219867
3858 0.0000202275
3871 0.0000102133
3932 0.0000085134
4062 0.0000075882
4123 0.0000074177
4184 0.0000069924
4190 0.0000058789
4352 0.0000046067
4380 0.0000040544
4444 0.0000037029
4508 0.0000035738
4522 0.0000034556
4574 0.0000031914
4579 0.0000030852
4584 0.0000029450
4632 0.0000011055
10000 4.9404153967
evaluations raw_y
1 9.6287776188
3 8.3741247994
4 6.4701465284
6 3.8086980755
22 2.8618730937
24 1.6018479942
82 1.5319324928
92 1.5258069139
100 1.2654492942
103 1.1739768184
164 1.0435279339
219 0.9343685499
221 0.4204796431
275 0.3633823972
490 0.3229120369
678 0.2614307126
687 0.2486605162
715 0.1574827693
748 0.1244805126
809 0.1102107999
940 0.0904023563
1027 0.0898004542
1067 0.0441738919
1132 0.0330528252
1239 0.0288609770
1259 0.0241482993
1323 0.0233002060
1388 0.0210416326
1453 0.0200750711
1483 0.0200546993
1514 0.0160082400
1582 0.0134364800
1644 0.0116097670
1708 0.0109242250
1788 0.0072058274
1873 0.0070185512
1901 0.0038288692
1962 0.0035877421
2086 0.0024227107
2092 0.0017481603
2153 0.0017027959
2214 0.0017024696
2310 0.0010181835
2345 0.0009148410
2473 0.0008043634
2534 0.0007674100
2595 0.0006320789
2614 0.0004804050
2656 0.0004668264
2720 0.0002665884
2836 0.0002070397
2946 0.0001616119
2979 0.0001258437
3043 0.0001115587
3104 0.0001108342
3168 0.0001011974
3219 0.0000933601
3295 0.0000692503
3523 0.0000588614
3536 0.0000411313
3683 0.0000229972
3735 0.0000226439
3752 0.0000177629
3813 0.0000124616
4004 0.0000114512
4069 0.0000105953
4072 0.0000082362
4136 0.0000054990
4200 0.0000034332
4402 0.0000027740
4462 0.0000025223
4491 0.0000024632
4526 0.0000011348
4748 0.0000010189
4755 0.0000006586
4959 0.0000006234
4995 0.0000005387
5092 0.0000005155
5113 0.0000005086
5118 0.0000004220
5142 0.0000003005
5340 0.0000002196
5375 0.0000001963
5487 0.0000000931
5641 0.0000000801
5705 0.0000000779
5766 0.0000000773
5806 0.0000000602
5830 0.0000000475
5891 0.0000000439
6021 0.0000000420
6027 0.0000000411
6078 0.0000000387
6082 0.0000000342
6146 0.0000000136
6427 0.0000000112
6466 0.0000000067
6638 0.0000000028
6876 0.0000000019
6922 0.0000000014
6933 0.0000000013
6971 0.0000000007
7226 0.0000000005
10000 8.0607956858
evaluations raw_y
1 7.3494225929
3 2.5747891584
21 2.2018139658
34 2.0361360650
53 1.8833853695
54 1.5280548083
