evaluations raw_y
1 8.2439359381
17 5.0131155831
26 3.1609719559
50 1.5382122286
133 0.8612550759
150 0.8283307268
281 0.5876275424
406 0.5303901389
505 0.4190552177
516 0.3634826139
583 0.2526927599
708 0.2430076278
783 0.1932643197
805 0.1758694203
917 0.1487437726
1043 0.1338270937
1084 0.1215447051
1086 0.1026712000
1122 0.0997178601
1142 0.0877427133
1312 0.0874134096
1322 0.0618662771
1442 0.0535767028
1505 0.0519901762
1529 0.0489472234
1542 0.0483448500
1674 0.0424456919
1732 0.0418131097
1744 0.0401645740
1822 0.0399569346
1850 0.0392452961
1936 0.0285735804
2046 0.0278950954
2162 0.0222988093
2345 0.0141166342
2389 0.0140746016
2427 0.0116589335
2545 0.0109092391
2605 0.0088619453
2750 0.0078736017
2763 0.0066006192
2934 0.0055151460
2994 0.0054701745
3018 0.0051578087
3040 0.0048557897
3054 0.0046733793
3112 0.0036374401
3434 0.0035806651
3445 0.0032433561
3457 0.0027327413
3460 0.0025665100
3509 0.0022303986
3605 0.0015091294
3954 0.0014829117
3962 0.0014775030
3965 0.0013493090
4012 0.0013178549
4025 0.0012084191
4058 0.0011757496
4155 0.0011297769
4182 0.0008843164
4336 0.0005626566
4516 0.0005624222
4527 0.0004982170
4599 0.0004712054
4717 0.0003934652
4789 0.0003727783
5021 0.0003639006
5032 0.0003620431
5044 0.0003288147
5104 0.0003005147
5138 0.0002829910
5163 0.0002752466
5202 0.0002746190
5226 0.0002025845
5546 0.0001979967
5594 0.0001776599
5667 0.0001726445
5680 0.0001667060
5702 0.0001663889
5714 0.0001614096
5737 0.0001502508
5763 0.0001486722
5898 0.0001427050
5920 0.0001326581
5968 0.0001173106
6037 0.0001053698
6137 0.0000995291
6148 0.0000939309
6232 0.0000931673
6350 0.0000897274
6388 0.0000841375
6438 0.0000825539
6519 0.0000764646
6520 0.0000762620
6603 0.0000537151
6626 0.0000522060
6793 0.0000517720
6834 0.0000490358
6890 0.0000399222
6892 0.0000352436
7034 0.0000343115
7035 0.0000330082
7062 0.0000324997
7180 0.0000298355
7230 0.0000281596
7326 0.0000263375
7417 0.0000239776
7477 0.0000239069
7515 0.0000233590
7552 0.0000220669
7590 0.0000169965
7853 0.0000168085
7864 0.0000168013
8116 0.0000156811
8175 0.0000155265
8211 0.0000146100
8235 0.0000136534
8261 0.0000136348
8293 0.0000131850
8557 0.0000127338
8608 0.0000126924
8620 0.0000125853
8677 0.0000122763
