evaluations raw_y
1 4.7636020112
6 4.0084430734
9 3.4270554590
11 2.6938424425
13 2.4220522405
18 2.0004360356
21 1.4205906016
27 0.5452636429
84 0.5064055407
105 0.4947458296
107 0.3955007693
126 0.3634396741
128 0.1315320851
226 0.1181935677
368 0.0762184226
525 0.0683901832
569 0.0504203679
703 0.0439440881
708 0.0424373915
711 0.0347377813
745 0.0181879402
1035 0.0176919886
1044 0.0154563130
1075 0.0145910700
1121 0.0140489440
1131 0.0107340514
1212 0.0047770692
1533 0.0041913855
1575 0.0040159735
1603 0.0033253282
1724 0.0032357655
1733 0.0022165137
1775 0.0018675627
1934 0.0009339301
2011 0.0006979329
2234 0.0003872077
2374 0.0001855888
2482 0.0001329527
2572 0.0001182883
2681 0.0001011971
2704 0.0000956921
2705 0.0000510330
3002 0.0000428154
3015 0.0000288003
3052 0.0000239178
3303 0.0000226447
3313 0.0000160124
3361 0.0000092408
3422 0.0000087779
3482 0.0000082835
3545 0.0000079181
3552 0.0000033315
3872 0.0000032539
3892 0.0000026927
4235 0.0000026005
4362 0.0000021114
4373 0.0000020332
4383 0.0000018516
4444 0.0000018049
4462 0.0000017156
4553 0.0000015812
4781 0.0000013552
4853 0.0000013345
4913 0.0000010823
4933 0.0000009755
4984 0.0000006713
5353 0.0000006019
5414 0.0000005316
5511 0.0000005266
5523 0.0000004819
5525 0.0000004672
5553 0.0000004362
5673 0.0000003789
5852 0.0000003720
5942 0.0000003682
6003 0.0000003668
6122 0.0000003616
6243 0.0000003607
6411 0.0000003594
6553 0.0000003593
6565 0.0000003570
6574 0.0000003564
6795 0.0000003563
6914 0.0000003561
6925 0.0000003557
7454 0.0000003556
10000 0.0000003560
evaluations raw_y
1 6.5247000829
2 6.1566885840
16 5.0717905484
34 4.2968964334
43 4.1820187165
52 2.4274874574
61 1.8132580102
75 1.3935596278
103 1.0484705936
105 0.8360605371
114 0.8236312359
120 0.7915786645
130 0.6601017499
214 0.5791054739
243 0.4544318465
273 0.3745700994
274 0.3447931692
317 0.3254652754
